Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.8.197-44.241.66.173-59843-21-6,44.241.66.173,21,192.168.8.197,59843,6,17/10/2024 1:51,3098835,2,3,56,65,34,22,28,8.485281374,40,11,21.66666667,15.94783162,39.04693215,1.613509593,774708.75,1360882.795,2805576,422,2805998,2805998,0,2805998,2805998,293259,146629.5,206615.8944,292729,530,0,1,0,0,40,60,0.645403837,0.968105756,11,40,26.83333333,12.93702696,167.3666667,0,0,0,1,1,0,0,0,1,32.2,28,21.66666667,0,0,0,0,0,0,2,56,3,65,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59888-21-6,44.241.66.173,21,192.168.8.197,59888,6,17/10/2024 1:51,3836700,2,3,56,67,34,22,28,8.485281374,40,13,22.33333333,15.30795,32.05880053,1.303203274,959175,1723042.513,3534993,318,3535311,3535311,0,3535311,3535311,301707,150853.5,212592.3609,301179,528,0,1,0,0,40,60,0.521281309,0.781921964,13,40,27.16666667,12.46461659,155.3666667,0,0,0,1,1,0,0,0,1,32.6,28,22.33333333,0,0,0,0,0,0,2,56,3,67,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59688-21-6,44.241.66.173,21,192.168.8.197,59688,6,17/10/2024 1:50,3427299,2,3,56,68,34,22,28,8.485281374,40,14,22.66666667,15.011107,36.180094,1.458874758,856824.75,1542207.459,3162624,385,3163067,3163067,0,3163067,3163067,264675,132337.5,186609.0151,264290,385,0,1,0,0,40,60,0.583549903,0.875324855,14,40,27.33333333,12.24200419,149.8666667,0,0,0,1,1,0,0,0,1,32.8,28,22.66666667,0,0,0,0,0,0,2,56,3,68,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59874-21-6,44.241.66.173,21,192.168.8.197,59874,6,17/10/2024 1:51,3323906,2,3,56,67,34,22,28,8.485281374,40,13,22.33333333,15.30795,37.00465657,1.504254332,830976.5,1477070.134,3037375,233,3037608,3037608,0,3037608,3037608,286531,143265.5,201823.1246,285976,555,0,1,0,0,40,60,0.601701733,0.902552599,13,40,27.16666667,12.46461659,155.3666667,0,0,0,1,1,0,0,0,1,32.6,28,22.33333333,0,0,0,0,0,0,2,56,3,67,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59727-21-6,44.241.66.173,21,192.168.8.197,59727,6,17/10/2024 1:50,3917508,2,3,56,68,34,22,28,8.485281374,40,14,22.66666667,15.011107,31.65277518,1.27632158,979377,1786568.617,3652740,279,3653019,3653019,0,3653019,3653019,264768,132384,186510.7272,264267,501,0,1,0,0,40,60,0.510528632,0.765792948,14,40,27.33333333,12.24200419,149.8666667,0,0,0,1,1,0,0,0,1,32.8,28,22.66666667,0,0,0,0,0,0,2,56,3,68,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59790-21-6,44.241.66.173,21,192.168.8.197,59790,6,17/10/2024 1:51,3335472,2,3,56,67,34,22,28,8.485281374,40,13,22.33333333,15.30795,36.87634014,1.499038217,833868,1471681.054,3030929,292,3031292,3031292,0,3031292,3031292,304543,152271.5,214931.4701,304251,292,0,1,0,0,40,60,0.599615287,0.89942293,13,40,27.16666667,12.46461659,155.3666667,0,0,0,1,1,0,0,0,1,32.6,28,22.33333333,0,0,0,0,0,0,2,56,3,67,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59990-21-6,44.241.66.173,21,192.168.8.197,59990,6,17/10/2024 1:52,3558676,2,3,56,68,34,22,28,8.485281374,40,14,22.66666667,15.011107,34.84441967,1.405016922,889669,1610430.076,3298351,256,3298607,3298607,0,3298607,3298607,260325,130162.5,183378.9513,259831,494,0,1,0,0,40,60,0.562006769,0.843010153,14,40,27.33333333,12.24200419,149.8666667,0,0,0,1,1,0,0,0,1,32.8,28,22.66666667,0,0,0,0,0,0,2,56,3,68,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59927-21-6,44.241.66.173,21,192.168.8.197,59927,6,17/10/2024 1:52,3325936,2,3,56,78,34,22,28,8.485281374,40,14,26,13.11487705,40.28941026,1.503336204,831484,1490568.691,3059435,292,3059740,3059740,0,3059740,3059740,266501,133250.5,188031.7139,266209,292,0,1,0,0,40,60,0.601334481,0.902001722,14,40,29,10.63954886,113.2,0,0,0,1,1,0,0,0,1,34.8,28,26,0,0,0,0,0,0,2,56,3,78,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59973-21-6,44.241.66.173,21,192.168.8.197,59973,6,17/10/2024 1:52,3130245,2,3,56,65,34,22,28,8.485281374,40,11,21.66666667,15.94783162,38.65512124,1.59731906,782561.25,1394002.248,2865240,431,2865671,2865671,0,2865671,2865671,265005,132502.5,186678.3116,264504,501,0,1,0,0,40,60,0.638927624,0.958391436,11,40,26.83333333,12.93702696,167.3666667,0,0,0,1,1,0,0,0,1,32.2,28,21.66666667,0,0,0,0,0,0,2,56,3,65,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59942-21-6,44.241.66.173,21,192.168.8.197,59942,6,17/10/2024 1:52,3102022,2,3,56,67,34,22,28,8.485281374,40,13,22.33333333,15.30795,39.65155631,1.611851882,775505.5,1381398.014,2839311,245,2839614,2839614,0,2839614,2839614,262711,131355.5,185418.2473,262466,245,0,1,0,0,40,60,0.644740753,0.967111129,13,40,27.16666667,12.46461659,155.3666667,0,0,0,1,1,0,0,0,1,32.6,28,22.33333333,0,0,0,0,0,0,2,56,3,67,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
