Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.8.197-20.50.201.200-53881-443-6,20.50.201.200,443,192.168.8.197,53881,6,21/10/2024 1:52,1742262,6,1,0,0,0,0,0,0,0,0,0,0,0,4.017765411,290377,462433.6859,1137797,0,1661238,332247.6,504140.3959,1137797,0,0,0,0,0,0,0,0,0,0,120,20,3.443798923,0.573966487,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,-1,16384,0,0,0,0,0,0,0,0,0,0,Beningn
157.240.236.61-192.168.8.197-80-53880-6,157.240.236.61,80,192.168.8.197,53880,6,21/10/2024 1:52,14849261,1560,3216,35811,241149,1392,0,22.95576923,89.38941892,1392,0,74.98414179,90.82155216,18651.43323,321.6321674,3109.79288,4150.67297,93046,-2,1.48E+07,9506.85247,11782.14682,123517,0,1.48E+07,4618.743701,6157.307402,129739,0,0,0,0,0,33792,64320,105.0557331,216.5764343,0,1392,57.97781034,93.57850327,8756.936275,0,0,0,0,1,0,0,0,2,57.98994975,22.95576923,74.98414179,0,0,0,0,0,0,1560,35811,3216,241149,-1,1031,165,0,0,0,0,0,0,0,0,0,Beningn
192.168.8.197-52.68.142.131-53853-443-6,52.68.142.131,443,192.168.8.197,53853,6,21/10/2024 1:52,19518200,1,2,0,0,0,0,0,0,0,0,0,0,0,0.153702698,9759100,1.38E+07,1.95E+07,35,0,0,0,0,0,35,35,0,35,35,0,0,0,0,20,40,0.051234233,0.102468465,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,-1,514,0,0,0,0,0,0,0,0,0,0,Beningn
192.168.8.197-117.18.232.200-53862-443-6,192.168.8.197,53862,117.18.232.200,443,6,21/10/2024 1:52,28165622,1,2,0,1,0,0,0,0,1,0,0.5,0.707106781,0.035504275,0.106512826,1.41E+07,1.99E+07,2.81E+07,34572,0,0,0,0,0,34572,34572,0,34572,34572,0,0,0,0,20,52,0.035504275,0.071008551,0,1,0.5,0.577350269,0.333333333,0,0,0,0,1,0,0,0,2,0.666666667,0,0.5,0,0,0,0,0,0,1,0,2,1,-1,148,0,0,0,0,0,0,0,0,0,0,Beningn
157.240.236.61-192.168.8.197-80-53887-6,192.168.8.197,53887,157.240.236.61,80,6,21/10/2024 1:52,19994455,2087,2015,137087,510277,1392,0,65.68615237,146.486511,1392,0,253.239206,406.9894086,32377.17657,205.1568797,4875.507193,32567.47323,1086631,0,2.00E+07,9568.034516,48074.75482,1086631,0,1.98E+07,9826.519861,51131.06526,1172489,0,0,0,0,0,42100,42136,104.3789391,100.7779407,0,1392,157.7782111,317.8612163,101035.7528,0,1,0,0,0,0,0,0,0,157.8166748,65.68615237,253.239206,0,0,0,0,0,0,2087,137087,2015,510277,-1,1909,1463,0,0,0,0,0,0,0,0,0,Beningn
192.168.8.197-204.79.197.222-53886-443-6,192.168.8.197,53886,204.79.197.222,443,6,21/10/2024 1:52,190241,8,10,0,4200,0,0,0,0,1400,0,420,676.2642482,22077.2599,94.61682813,11190.64706,16759.25216,44428,6,129796,18542.28571,23494.69648,54020,16,190241,21137.88889,18287.92862,44837,16,0,0,0,0,160,224,42.05192361,52.56490452,0,1400,221.0526316,524.4880545,275087.7193,0,1,0,0,0,0,0,0,1,233.3333333,0,420,0,0,0,0,0,0,8,0,10,4200,-1,16380,0,0,0,0,0,0,0,0,0,0,Beningn
192.168.8.197-216.58.200.14-53901-443-6,192.168.8.197,53901,216.58.200.14,443,6,21/10/2024 1:53,160723,5,9,1400,6434,1400,0,280,626.0990337,1400,0,714.8888889,701.4236317,48742.24598,87.10638801,12363.30769,19891.09808,61714,0,129351,32337.75,27907.51108,61714,795,98958,12369.75,15910.50575,39999,0,0,0,0,0,112,204,31.10942429,55.99696372,0,1400,522.2666667,676.3409397,457437.0667,0,1,0,0,0,0,0,0,1,559.5714286,280,714.8888889,0,0,0,0,0,0,5,1400,9,6434,-1,1048,1,0,0,0,0,0,0,0,0,0,Beningn
172.217.26.67-192.168.8.197-443-53903-6,192.168.8.197,53903,172.217.26.67,443,6,21/10/2024 1:53,203730,5,6,1400,2800,1400,0,280,626.0990337,1400,0,466.6666667,722.9568913,20615.52054,53.99302999,20373,31042.17629,85359,26,157533,39383.25,45473.10661,85359,76,118345,23669,26480.16467,57220,98,0,0,0,0,100,156,24.54228636,29.45074363,0,1400,350,633.1738236,400909.0909,0,1,0,0,0,0,0,0,1,381.8181818,280,466.6666667,0,0,0,0,0,0,5,1400,6,2800,-1,1048,1,0,0,0,0,0,0,0,0,0,Beningn
142.250.199.3-192.168.8.197-80-53917-6,192.168.8.197,53917,142.250.199.3,80,6,21/10/2024 1:53,202177,5,6,604,668,202,0,120.8,110.277831,223,0,111.3333333,121.9601028,6291.516839,54.40777141,20217.7,19782.53259,51863,57,176486,44121.5,35084.34993,85388,137,150314,30062.8,19040.79325,50960,323,0,0,0,0,100,144,24.73080519,29.67696622,0,223,106,110.9946764,12319.81818,0,1,0,0,0,0,0,0,1,115.6363636,120.8,111.3333333,0,0,0,0,0,0,5,604,6,668,-1,1053,3,0,0,0,0,0,0,0,0,0,Beningn
192.168.8.197-117.18.232.200-53862-443-6,117.18.232.200,443,192.168.8.197,53862,6,21/10/2024 1:52,54,0,2,0,0,0,0,0,0,0,0,0,0,0,37037.03704,54,0,54,54,0,0,0,0,0,54,54,0,54,54,0,0,0,0,0,40,0,37037.03704,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,514,0,0,0,0,0,0,0,0,0,0,Beningn
