Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
203.121.59.203-10.16.33.255-80-6278-6,203.121.59.203,80,10.16.33.255,6278,6,15/10/2024 15:23,5845,3,1,187,0,187,0,62.33333333,107.9645003,0,0,0,0,31993.15654,684.3455945,1948.333333,3234.477134,5682,0,163,81.5,115.2584053,163,0,0,0,0,0,0,0,0,0,0,60,32,513.2591959,171.0863986,0,187,37.4,83.62894236,6993.8,0,1,0,0,1,0,0,0,0,46.75,62.33333333,0,0,0,0,0,0,0,3,187,1,0,-1,64240,1,0,0,0,0,0,0,0,0,0,PortScanning
185.199.109.154-10.16.33.255-443-6088-6,185.199.109.154,443,10.16.33.255,6088,6,15/10/2024 15:23,23879189,1,1,0,0,0,0,0,0,0,0,0,0,0,0.083754938,2.39E+07,0,2.39E+07,2.39E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,0.041877469,0.041877469,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,411,0,0,0,0,0,0,0,0,0,0,PortScanning
172.217.26.67-10.16.33.255-443-6235-6,172.217.26.67,443,10.16.33.255,6235,6,15/10/2024 15:23,26647760,1,1,0,0,0,0,0,0,0,0,0,0,0,0.075053213,2.66E+07,0,2.66E+07,2.66E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,0.037526606,0.037526606,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,1043,0,0,0,0,0,0,0,0,0,0,PortScanning
203.121.59.219-10.16.33.255-80-6279-6,203.121.59.219,80,10.16.33.255,6279,6,15/10/2024 15:23,7344,3,1,187,0,187,0,62.33333333,107.9645003,0,0,0,0,25462.96296,544.6623094,2448,3101.079167,6026,536,1318,659,173.9482682,782,536,0,0,0,0,0,0,0,0,0,60,32,408.496732,136.1655773,0,187,37.4,83.62894236,6993.8,0,1,0,0,1,0,0,0,0,46.75,62.33333333,0,0,0,0,0,0,0,3,187,1,0,-1,64240,1,0,0,0,0,0,0,0,0,0,PortScanning
185.199.111.153-10.16.33.255-443-6129-6,185.199.111.153,443,10.16.33.255,6129,6,15/10/2024 15:23,23968361,1,1,0,0,0,0,0,0,0,0,0,0,0,0.083443336,2.40E+07,0,2.40E+07,2.40E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,0.041721668,0.041721668,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,279,0,0,0,0,0,0,0,0,0,0,PortScanning
172.253.118.84-10.16.33.255-443-6229-6,172.253.118.84,443,10.16.33.255,6229,6,15/10/2024 15:23,14854876,1,1,0,0,0,0,0,0,0,0,0,0,0,0.134635927,1.49E+07,0,1.49E+07,1.49E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,0.067317963,0.067317963,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,1035,0,0,0,0,0,0,0,0,0,0,PortScanning
10.16.33.255-13.107.5.93-6282-443-6,13.107.5.93,443,10.16.33.255,6282,6,15/10/2024 15:23,91989,4,1,0,0,0,0,0,0,0,0,0,0,0,54.35432497,22997.25,10906.71592,30893,7008,61096,20365.33333,11699.2635,28793,7008,0,0,0,0,0,0,0,0,0,80,32,43.48345998,10.87086499,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,-1,65535,0,0,0,0,0,0,0,0,0,0,PortScanning
142.251.222.228-10.16.33.255-443-6280-6,142.251.222.228,443,10.16.33.255,6280,6,15/10/2024 15:23,10112156,6,1,2764,0,1382,0,460.6666667,713.6617313,0,0,0,0,273.3343908,0.692236156,1685359.333,4038580.968,9928642,0,1.00E+07,2005505,4429330.755,9928642,0,0,0,0,0,0,0,0,0,0,132,32,0.593345277,0.098890879,0,1382,345.5,639.7416889,409269.4286,0,1,0,0,1,0,0,0,0,394.8571429,460.6666667,0,0,0,0,0,0,0,6,2764,1,0,-1,65535,2,0,0,0,0,0,0,0,0,0,PortScanning
10.16.33.255-13.107.5.93-6281-443-6,13.107.5.93,443,10.16.33.255,6281,6,15/10/2024 15:23,7145107,14,1,8292,0,1382,0,592.2857143,709.7296808,0,0,0,0,1160.514461,2.09933875,510364.7857,1071763.674,3596249,0,7118125,547548.0769,1106088.196,3596249,0,0,0,0,0,0,0,0,0,0,280,32,1.959382834,0.139955917,0,1382,518.25,691,477481,0,1,0,0,1,0,0,0,0,552.8,592.2857143,0,0,0,0,0,0,0,14,8292,1,0,-1,65535,6,0,0,0,0,0,0,0,0,0,PortScanning
216.58.196.14-10.16.33.255-443-6234-6,216.58.196.14,443,10.16.33.255,6234,6,15/10/2024 15:23,59644446,3,1,0,0,0,0,0,0,0,0,0,0,0,0.067064082,1.99E+07,2.30E+07,4.51E+07,694,1.46E+07,7278250.5,1.03E+07,1.46E+07,694,0,0,0,0,0,0,0,0,0,72,32,0.050298061,0.01676602,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,-1,1044,0,0,0,0,0,0,29821876,21589481.82,45087945,14555807,PortScanning
