Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.8.197-44.228.249.3-55996-80-6,192.168.8.197,55996,44.228.249.3,80,6,17/10/2024 0:35,270075,0,2,0,0,0,0,0,0,0,0,0,0,0,7.405350366,270075,0,270075,270075,0,0,0,0,0,270075,270075,0,270075,270075,0,0,0,0,0,40,0,7.405350366,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,488,0,0,0,0,0,0,0,0,0,0,SQLI
192.168.8.197-44.228.249.3-55896-80-6,192.168.8.197,55896,44.228.249.3,80,6,17/10/2024 0:35,270815,0,2,0,0,0,0,0,0,0,0,0,0,0,7.3851153,270815,0,270815,270815,0,0,0,0,0,270815,270815,0,270815,270815,0,0,0,0,0,40,0,7.3851153,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,486,0,0,0,0,0,0,0,0,0,0,SQLI
192.168.8.197-44.228.249.3-55949-80-6,192.168.8.197,55949,44.228.249.3,80,6,17/10/2024 0:35,283011,0,2,0,0,0,0,0,0,0,0,0,0,0,7.066863125,283011,0,283011,283011,0,0,0,0,0,283011,283011,0,283011,283011,0,0,0,0,0,40,0,7.066863125,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,488,0,0,0,0,0,0,0,0,0,0,SQLI
192.168.8.197-44.228.249.3-55904-80-6,192.168.8.197,55904,44.228.249.3,80,6,17/10/2024 0:35,280006,0,2,0,0,0,0,0,0,0,0,0,0,0,7.142704085,280006,0,280006,280006,0,0,0,0,0,280006,280006,0,280006,280006,0,0,0,0,0,40,0,7.142704085,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,489,0,0,0,0,0,0,0,0,0,0,SQLI
192.168.8.197-44.228.249.3-55981-80-6,192.168.8.197,55981,44.228.249.3,80,6,17/10/2024 0:35,275917,0,2,0,0,0,0,0,0,0,0,0,0,0,7.248556631,275917,0,275917,275917,0,0,0,0,0,275917,275917,0,275917,275917,0,0,0,0,0,40,0,7.248556631,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,488,0,0,0,0,0,0,0,0,0,0,SQLI
192.168.8.197-44.228.249.3-55965-80-6,192.168.8.197,55965,44.228.249.3,80,6,17/10/2024 0:35,268408,0,2,0,0,0,0,0,0,0,0,0,0,0,7.451342732,268408,0,268408,268408,0,0,0,0,0,268408,268408,0,268408,268408,0,0,0,0,0,40,0,7.451342732,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,489,0,0,0,0,0,0,0,0,0,0,SQLI
192.168.8.197-44.228.249.3-55917-80-6,192.168.8.197,55917,44.228.249.3,80,6,17/10/2024 0:35,268295,0,2,0,0,0,0,0,0,0,0,0,0,0,7.454481075,268295,0,268295,268295,0,0,0,0,0,268295,268295,0,268295,268295,0,0,0,0,0,40,0,7.454481075,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,488,0,0,0,0,0,0,0,0,0,0,SQLI
192.168.8.197-44.228.249.3-55995-80-6,192.168.8.197,55995,44.228.249.3,80,6,17/10/2024 0:35,278033,0,2,0,0,0,0,0,0,0,0,0,0,0,7.193390713,278033,0,278033,278033,0,0,0,0,0,278033,278033,0,278033,278033,0,0,0,0,0,40,0,7.193390713,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,488,0,0,0,0,0,0,0,0,0,0,SQLI
192.168.8.197-44.228.249.3-55895-80-6,192.168.8.197,55895,44.228.249.3,80,6,17/10/2024 0:35,292235,0,2,0,0,0,0,0,0,0,0,0,0,0,6.84380721,292235,0,292235,292235,0,0,0,0,0,292235,292235,0,292235,292235,0,0,0,0,0,40,0,6.84380721,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,486,0,0,0,0,0,0,0,0,0,0,SQLI
192.168.8.197-44.228.249.3-55950-80-6,44.228.249.3,80,192.168.8.197,55950,6,17/10/2024 0:35,263865,1,2,0,0,0,0,0,0,0,0,0,0,0,11.36945029,131932.5,186545.3755,263840,25,0,0,0,0,0,25,25,0,25,25,0,0,0,0,20,40,3.789816762,7.579633525,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,-1,510,0,0,0,0,0,0,0,0,0,0,SQLI
